col1,col2
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...  61  61  61]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 172 172 172]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 172 172 172]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 219 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 218 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 218 145]
[ 0.22016978 -0.15051655  0.42      ],[ 61  61  61 ... 114 218 145]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[61 61 61 ...  0  0  0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ...   0   0   0]
